n_ann,minority,delta,rep,simulation,method,stat,pvalue,detected
80,0.5,0.0,22,bidirectional,apunim,0.01999324418792035,0.06473434422141308,0
80,0.5,0.0,22,bidirectional,Krippendorff delta-alpha,0.0009284917725758124,0.1691542288557214,0
80,0.5,0.0,22,bidirectional,aposteriori unimodality (2024),0.011764705882352941,0.12871287128712872,0
80,0.5,0.0,22,bidirectional,chi-squared (Akhtar et al. 2019),1.3213747477019524,0.8577386955182915,0
80,0.5,0.0,22,bidirectional,GMM clustering (Checco/Mignemi),-0.005647013782542113,0.8009950248756219,0
80,0.5,0.0,23,unidirectional,apunim,-0.01263922224798993,0.4577198936907006,0
80,0.5,0.0,23,unidirectional,Krippendorff delta-alpha,0.0007750264546839136,0.263681592039801,0
80,0.5,0.0,23,unidirectional,aposteriori unimodality (2024),0.005917159763313609,0.37623762376237624,0
80,0.5,0.0,23,unidirectional,chi-squared (Akhtar et al. 2019),2.547744641713613,0.6361072648200751,0
80,0.5,0.0,23,unidirectional,GMM clustering (Checco/Mignemi),0.0005111821086261981,0.4527363184079602,0
80,0.5,0.0,23,bidirectional,apunim,0.013960329365183911,0.5492339270593173,0
80,0.5,0.0,23,bidirectional,Krippendorff delta-alpha,-0.0018260639056271177,0.900497512437811,0
80,0.5,0.0,23,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,23,bidirectional,chi-squared (Akhtar et al. 2019),1.4012055417896354,0.8439854603875541,0
80,0.5,0.0,23,bidirectional,GMM clustering (Checco/Mignemi),-0.005761428834350919,0.6417910447761194,0
80,0.5,0.0,24,unidirectional,apunim,0.010267596261022163,0.5933475693956058,0
80,0.5,0.0,24,unidirectional,Krippendorff delta-alpha,0.0010889161746881482,0.19402985074626866,0
80,0.5,0.0,24,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,24,unidirectional,chi-squared (Akhtar et al. 2019),8.792705039823343,0.06649495134393452,0
80,0.5,0.0,24,unidirectional,GMM clustering (Checco/Mignemi),0.07836287298484022,0.004975124378109453,1
80,0.5,0.0,24,bidirectional,apunim,-0.007096999374524013,0.8239520876697788,0
80,0.5,0.0,24,bidirectional,Krippendorff delta-alpha,0.0007931581563320189,0.22885572139303484,0
80,0.5,0.0,24,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,24,bidirectional,chi-squared (Akhtar et al. 2019),1.030788889785432,0.9050920025672903,0
80,0.5,0.0,24,bidirectional,GMM clustering (Checco/Mignemi),-0.007915167279719778,1.0,0
80,0.5,0.0,25,unidirectional,apunim,0.004299806254022944,1.0,0
80,0.5,0.0,25,unidirectional,Krippendorff delta-alpha,0.0003296258376163097,0.39303482587064675,0
80,0.5,0.0,25,unidirectional,aposteriori unimodality (2024),0.006211180124223602,0.42574257425742573,0
80,0.5,0.0,25,unidirectional,chi-squared (Akhtar et al. 2019),1.3393871228692376,0.8546583778241718,0
80,0.5,0.0,25,unidirectional,GMM clustering (Checco/Mignemi),-0.004845548152634767,0.7810945273631841,0
80,0.5,0.0,25,bidirectional,apunim,0.024477222169706624,0.05072095613130465,0
80,0.5,0.0,25,bidirectional,Krippendorff delta-alpha,-1.3251437144257139e-06,0.46766169154228854,0
80,0.5,0.0,25,bidirectional,aposteriori unimodality (2024),0.006211180124223602,0.5841584158415841,0
80,0.5,0.0,25,bidirectional,chi-squared (Akhtar et al. 2019),4.093977945263598,0.39343669857585845,0
80,0.5,0.0,25,bidirectional,GMM clustering (Checco/Mignemi),-0.011207082876377871,1.0,0
80,0.5,0.0,26,unidirectional,apunim,0.015007170510003304,0.4127988450699601,0
80,0.5,0.0,26,unidirectional,Krippendorff delta-alpha,0.0012427852831267683,0.15920398009950248,0
80,0.5,0.0,26,unidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,26,unidirectional,chi-squared (Akhtar et al. 2019),4.316198939922157,0.3649010504344511,0
80,0.5,0.0,26,unidirectional,GMM clustering (Checco/Mignemi),0.03144854889690623,0.05970149253731343,0
80,0.5,0.0,26,bidirectional,apunim,-0.020008131445671835,0.19278995957678133,0
80,0.5,0.0,26,bidirectional,Krippendorff delta-alpha,-0.0010279638648633682,0.8009950248756219,0
80,0.5,0.0,26,bidirectional,aposteriori unimodality (2024),0.0,1.0,0
80,0.5,0.0,26,bidirectional,chi-squared (Akhtar et al. 2019),4.361633219929943,0.3592708742781126,0
80,0.5,0.0,26,bidirectional,GMM clustering (Checco/Mignemi),-0.01230138390568939,1.0,0
